Object,View,Algo,Merge,Input_Views,IOU,MSE
cup,back,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,13.4792
cup,right,SPATIAL,CARVE,PROJ_from_front_left,1.0000,13.4906
cup,back,SPATIAL,CARVE,VOTE_from_top_front,1.0000,13.4792
cup,right,SPATIAL,CARVE,PROJ_from_top_left,1.0000,13.4906
cup,bottom,HYBRID,DEPTH,PROJ_from_top_front,1.0000,13.4286
cup,back,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,13.4792
cup,right,HYBRID,DEPTH,VOTE_from_front_left,1.0000,13.4906
cup,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,13.4906
cup,right,HYBRID,DEPTH,PROJ_from_front_left,1.0000,13.4906
cup,back,HYBRID,DEPTH,VOTE_from_top_front,0.9500,13.5000
cup,back,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,13.4792
cup,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,13.4286
cup,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,13.4792
cup,right,SPATIAL,CARVE,VOTE_from_top_left,1.0000,13.4906
cup,bottom,SPATIAL,CARVE,VOTE_from_top_left,1.0000,53.2048
cup,right,HYBRID,DEPTH,VOTE_from_top_left,0.9101,13.5309
cup,back,HYBRID,DEPTH,PROJ_from_top_front_left,0.9125,13.5251
cup,back,SPATIAL,CARVE,PROJ_from_top_front,1.0000,13.4792
cup,right,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,13.4906
cup,right,SILHOUETTE,INTERSECT,VOTE_from_top_left,1.0000,13.4906
cup,back,HYBRID,DEPTH,VOTE_from_front_left,1.0000,13.4792
cup,right,SPATIAL,CARVE,VOTE_from_front_left,1.0000,13.4906
cup,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_left,1.0000,53.2048
cup,right,DEPTH,MAPPING,from_top_front_left,1.0000,13.4906
cup,back,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,13.4792
cup,bottom,SPATIAL,CARVE,PROJ_from_top_left,1.0000,13.4286
cup,bottom,SPATIAL,CARVE,PROJ_from_top_front,1.0000,13.4286
cup,bottom,DEPTH,MAPPING,from_top_left,1.0000,53.2048
cup,bottom,SPATIAL,CARVE,VOTE_from_top_front,1.0000,53.2048
cup,back,HYBRID,DEPTH,VOTE_from_top_front_left,0.9125,13.5251
cup,bottom,HYBRID,DEPTH,VOTE_from_top_front,1.0000,53.2048
cup,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,53.2048
cup,bottom,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,13.4286
