Model,Algorithm,Merge,IoU,MSE,Params
chr_sword,SPATIAL_CARVE,MAJORITY_VOTE,0.6979,0.212580,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.25), 'concavity_depth': np.float64(0.375), 'hollow_grid': True}"
chr_sword,SPATIAL_CARVE,NEAREST_PROJ,0.6979,0.215324,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.25), 'concavity_depth': np.float64(0.375), 'hollow_grid': True}"
chr_sword,DEPTH_MAPPING,,0.4766,0.302538,"{'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.25, 'minimum_region_size': 8}"
chr_sword,HYBRID_DEPTH,MAJORITY_VOTE,0.6807,0.191179,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
chr_sword,HYBRID_DEPTH,NEAREST_PROJ,0.6807,0.187269,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
coin,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.4150,0.257813,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
coin,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.4150,0.265412,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
coin,SPATIAL_CARVE,MAJORITY_VOTE,0.4150,0.257813,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
coin,SPATIAL_CARVE,NEAREST_PROJ,0.4150,0.262068,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
coin,DEPTH_MAPPING,,0.4210,0.269984,"{'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 0.25, 'minimum_region_size': 1}"
coin,HYBRID_DEPTH,MAJORITY_VOTE,0.4558,0.257687,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.375), 'depth_factor': 1.25, 'minimum_region_size': 8, 'hollow_grid': True}"
coin,HYBRID_DEPTH,NEAREST_PROJ,0.4558,0.262376,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.375), 'depth_factor': 1.25, 'minimum_region_size': 2, 'hollow_grid': True}"
-----------------------------------------------------------------
covjek,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.6645,0.211556,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
covjek,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.6645,0.210358,"{'merge': 'MAJORITY_VOTE', 'threshold': 1.0, 'hollow_grid': True}"
covjek,SPATIAL_CARVE,MAJORITY_VOTE,0.6645,0.210358,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
covjek,SPATIAL_CARVE,NEAREST_PROJ,0.6645,0.197906,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
covjek,DEPTH_MAPPING,,0.5463,0.235323,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 2}"
covjek,HYBRID_DEPTH,MAJORITY_VOTE,0.6645,0.210358,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 8, 'hollow_grid': True}"
covjek,HYBRID_DEPTH,NEAREST_PROJ,0.6645,0.211556,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
fence,SILHOUETTE_INTERSECT,NEAREST_PROJ,1.0000,0.079242,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
fence,SILHOUETTE_INTERSECT,MAJORITY_VOTE,1.0000,0.085719,"{'merge': 'MAJORITY_VOTE', 'threshold': 1.0, 'hollow_grid': True}"
fence,SPATIAL_CARVE,MAJORITY_VOTE,1.0000,0.085719,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.25), 'hollow_grid': True}"
fence,SPATIAL_CARVE,NEAREST_PROJ,1.0000,0.080308,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
fence,DEPTH_MAPPING,,0.7891,0.104379,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1}"
fence,HYBRID_DEPTH,MAJORITY_VOTE,1.0000,0.085719,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.5, 'minimum_region_size': 2, 'hollow_grid': True}"
fence,HYBRID_DEPTH,NEAREST_PROJ,1.0000,0.079242,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 4, 'hollow_grid': True}"
-----------------------------------------------------------------
rock,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.8142,0.090395,"{'merge': 'NEAREST_PROJ', 'threshold': 1.0, 'hollow_grid': True}"
rock,SPATIAL_CARVE,MAJORITY_VOTE,0.8142,0.098521,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
rock,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.8142,0.098521,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
rock,SPATIAL_CARVE,NEAREST_PROJ,0.8142,0.072484,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
rock,DEPTH_MAPPING,,0.7235,0.073242,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 8}"
rock,HYBRID_DEPTH,MAJORITY_VOTE,0.8142,0.098521,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 2, 'hollow_grid': True}"
rock,HYBRID_DEPTH,NEAREST_PROJ,0.8142,0.090395,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
skull,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.8705,0.062680,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
skull,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.8705,0.071960,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
skull,SPATIAL_CARVE,MAJORITY_VOTE,1.0000,0.040468,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.375), 'concavity_depth': np.float64(0.5), 'hollow_grid': True}"
skull,SPATIAL_CARVE,NEAREST_PROJ,1.0000,0.021375,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.375), 'concavity_depth': np.float64(0.375), 'hollow_grid': True}"
